Block	StimType	Stimulus	key_pressed	RESP	Accuracy	RT
SupervisedDense	nottarget	contr4	n	nottarget	1	2.443
SupervisedDense	nottarget	catch2	n	nottarget	1	2.108
SupervisedDense	nottarget	contr14	n	nottarget	1	2.065
SupervisedDense	nottarget	catch4	n	nottarget	1	1.656
SupervisedDense	target	test15	x	target	1	0.795
SupervisedDense	nottarget	contr2	n	nottarget	1	1.940
SupervisedDense	nottarget	contr15	n	nottarget	1	1.210
SupervisedDense	target	test6	x	target	1	1.260
SupervisedDense	nottarget	contr13	n	nottarget	1	0.607
SupervisedDense	nottarget	catch3	n	nottarget	1	0.965
SupervisedDense	nottarget	catch5	n	nottarget	1	0.556
SupervisedDense	nottarget	contr12	n	nottarget	1	0.651
SupervisedDense	nottarget	catch8	n	nottarget	1	1.551
SupervisedDense	target	test7	x	target	1	1.835
SupervisedDense	target	test8	x	target	1	1.010
SupervisedDense	nottarget	catch1	n	nottarget	1	0.841
SupervisedDense	target	test1	x	target	1	1.664
SupervisedDense	nottarget	contr1	n	nottarget	1	0.941
SupervisedDense	nottarget	contr3	n	nottarget	1	0.517
SupervisedDense	nottarget	contr10	n	nottarget	1	0.655
SupervisedDense	nottarget	contr11	n	nottarget	1	0.561
SupervisedDense	target	test11	x	target	1	0.645
SupervisedDense	nottarget	contr9	n	nottarget	1	0.723
SupervisedDense	nottarget	catch6	n	nottarget	1	0.390
SupervisedDense	target	test10	x	target	1	0.517
SupervisedDense	target	test9	x	target	1	0.568
SupervisedDense	target	test5	x	target	1	0.521
SupervisedDense	nottarget	contr8	n	nottarget	1	0.603
SupervisedDense	target	test2	x	target	1	0.665
SupervisedDense	target	test14	x	target	1	0.688
SupervisedDense	nottarget	catch7	n	nottarget	1	0.534
SupervisedDense	nottarget	contr5	n	nottarget	1	0.564
SupervisedDense	target	test3	x	target	1	0.604
SupervisedDense	nottarget	contr7	n	nottarget	1	0.584
SupervisedDense	target	test13	x	target	1	0.674
SupervisedDense	nottarget	contr6	n	nottarget	1	0.895
SupervisedDense	target	test4	x	target	1	0.694
SupervisedDense	target	test12	x	target	1	0.511
SupervisedDense	target	test16	x	target	1	0.474
SupervisedDense	nottarget	contr16	n	nottarget	1	0.731
SupervisedSparse	target	test5	x	target	1	0.799
SupervisedSparse	target	test8	x	target	1	0.660
SupervisedSparse	nottarget	contr3	n	nottarget	1	0.741
SupervisedSparse	nottarget	contr8	n	nottarget	1	0.873
SupervisedSparse	nottarget	contr11	n	nottarget	1	0.706
SupervisedSparse	nottarget	contr10	n	nottarget	1	0.630
SupervisedSparse	target	test3	n	nottarget	0	0.672
SupervisedSparse	nottarget	catch1	n	nottarget	1	0.681
SupervisedSparse	nottarget	catch8	n	nottarget	1	0.686
SupervisedSparse	nottarget	catch2	n	nottarget	1	0.409
SupervisedSparse	nottarget	catch6	n	nottarget	1	0.558
SupervisedSparse	nottarget	contr16	n	nottarget	1	0.732
SupervisedSparse	target	test16	x	target	1	0.552
SupervisedSparse	nottarget	contr4	n	nottarget	1	0.576
SupervisedSparse	target	test13	x	target	1	0.711
SupervisedSparse	nottarget	contr12	n	nottarget	1	0.635
SupervisedSparse	nottarget	contr2	n	nottarget	1	0.428
SupervisedSparse	target	test9	x	target	1	0.741
SupervisedSparse	target	test1	x	target	1	0.648
SupervisedSparse	nottarget	contr14	n	nottarget	1	0.608
SupervisedSparse	target	test11	x	target	1	0.653
SupervisedSparse	nottarget	catch3	n	nottarget	1	0.551
SupervisedSparse	nottarget	contr9	n	nottarget	1	1.472
SupervisedSparse	nottarget	catch4	n	nottarget	1	1.079
SupervisedSparse	target	test4	x	target	1	1.416
SupervisedSparse	target	test12	x	target	1	0.551
SupervisedSparse	nottarget	contr6	n	nottarget	1	0.570
SupervisedSparse	nottarget	contr7	n	nottarget	1	0.595
SupervisedSparse	target	test2	x	target	1	0.718
SupervisedSparse	target	test6	x	target	1	0.880
SupervisedSparse	target	test7	n	nottarget	0	0.621
SupervisedSparse	target	test10	x	target	1	0.719
SupervisedSparse	nottarget	contr15	n	nottarget	1	0.807
SupervisedSparse	nottarget	contr1	n	nottarget	1	0.545
SupervisedSparse	nottarget	catch5	n	nottarget	1	0.565
SupervisedSparse	target	test15	x	target	1	0.646
SupervisedSparse	nottarget	catch7	n	nottarget	1	0.699
SupervisedSparse	target	test14	x	target	1	0.702
SupervisedSparse	nottarget	contr5	n	nottarget	1	0.803
SupervisedSparse	nottarget	contr13	n	nottarget	1	0.526
UnsupervisedDense	nottarget	catch4	n	nottarget	1	1.554
UnsupervisedDense	nottarget	catch2	n	nottarget	1	1.769
UnsupervisedDense	nottarget	contr12	x	target	0	3.922
UnsupervisedDense	nottarget	contr4	x	target	0	0.932
UnsupervisedDense	target	test7	x	target	1	0.712
UnsupervisedDense	nottarget	contr14	x	target	0	0.889
UnsupervisedDense	nottarget	contr5	x	target	0	0.737
UnsupervisedDense	nottarget	contr6	x	target	0	0.695
UnsupervisedDense	target	test5	x	target	1	0.740
UnsupervisedDense	target	test8	x	target	1	0.646
UnsupervisedDense	nottarget	catch7	n	nottarget	1	0.664
UnsupervisedDense	nottarget	contr9	x	target	0	0.715
UnsupervisedDense	target	test13	x	target	1	0.769
UnsupervisedDense	nottarget	catch8	n	nottarget	1	0.595
UnsupervisedDense	nottarget	contr11	x	target	0	0.504
UnsupervisedDense	target	test3	x	target	1	0.679
UnsupervisedDense	nottarget	contr15	x	target	0	0.766
UnsupervisedDense	target	test1	x	target	1	0.880
UnsupervisedDense	target	test9	x	target	1	0.625
UnsupervisedDense	nottarget	contr7	x	target	0	0.340
UnsupervisedDense	target	test10	x	target	1	0.422
UnsupervisedDense	nottarget	catch3	n	nottarget	1	0.499
UnsupervisedDense	target	test6	x	target	1	0.586
UnsupervisedDense	nottarget	catch5	n	nottarget	1	0.551
UnsupervisedDense	target	test11	x	target	1	0.593
UnsupervisedDense	nottarget	contr3	x	target	0	0.417
UnsupervisedDense	nottarget	contr10	x	target	0	0.445
UnsupervisedDense	nottarget	contr16	x	target	0	0.493
UnsupervisedDense	target	test14	x	target	1	0.822
UnsupervisedDense	nottarget	contr1	x	target	0	0.921
UnsupervisedDense	target	test4	x	target	1	0.366
UnsupervisedDense	target	test16	x	target	1	0.453
UnsupervisedDense	nottarget	contr2	x	target	0	0.389
UnsupervisedDense	target	test15	x	target	1	0.598
UnsupervisedDense	nottarget	catch1	n	nottarget	1	0.684
UnsupervisedDense	nottarget	catch6	n	nottarget	1	0.618
UnsupervisedDense	nottarget	contr13	x	target	0	0.734
UnsupervisedDense	nottarget	contr8	x	target	0	0.453
UnsupervisedDense	target	test2	x	target	1	0.975
UnsupervisedDense	target	test12	x	target	1	0.383
UnsupervisedSparse	nottarget	contr13	n	nottarget	1	2.511
UnsupervisedSparse	target	test2	x	target	1	1.384
UnsupervisedSparse	nottarget	contr3	n	nottarget	1	0.962
UnsupervisedSparse	target	test12	x	target	1	0.786
UnsupervisedSparse	target	test4	x	target	1	1.019
UnsupervisedSparse	nottarget	catch7	n	nottarget	1	0.728
UnsupervisedSparse	nottarget	contr5	n	nottarget	1	0.926
UnsupervisedSparse	nottarget	catch6	n	nottarget	1	2.316
UnsupervisedSparse	nottarget	contr2	n	nottarget	1	0.828
UnsupervisedSparse	nottarget	catch1	n	nottarget	1	0.821
UnsupervisedSparse	target	test10	x	target	1	1.156
UnsupervisedSparse	nottarget	contr6	n	nottarget	1	0.705
UnsupervisedSparse	nottarget	catch3	n	nottarget	1	0.781
UnsupervisedSparse	target	test3	x	target	1	0.765
UnsupervisedSparse	nottarget	catch8	n	nottarget	1	0.807
UnsupervisedSparse	target	test6	x	target	1	0.927
UnsupervisedSparse	nottarget	contr11	n	nottarget	1	0.847
UnsupervisedSparse	nottarget	contr1	n	nottarget	1	0.632
UnsupervisedSparse	target	test1	x	target	1	0.775
UnsupervisedSparse	nottarget	catch2	n	nottarget	1	0.772
UnsupervisedSparse	nottarget	catch5	n	nottarget	1	1.128
UnsupervisedSparse	target	test11	x	target	1	0.855
UnsupervisedSparse	target	test13	x	target	1	1.418
UnsupervisedSparse	nottarget	catch4	n	nottarget	1	0.635
UnsupervisedSparse	nottarget	contr12	n	nottarget	1	0.738
UnsupervisedSparse	target	test15	n	nottarget	0	1.772
UnsupervisedSparse	target	test14	x	target	1	0.835
UnsupervisedSparse	target	test16	x	target	1	0.834
UnsupervisedSparse	nottarget	contr14	n	nottarget	1	0.733
UnsupervisedSparse	nottarget	contr16	n	nottarget	1	0.792
UnsupervisedSparse	target	test9	x	target	1	0.670
UnsupervisedSparse	nottarget	contr15	n	nottarget	1	0.801
UnsupervisedSparse	target	test5	x	target	1	0.740
UnsupervisedSparse	nottarget	contr9	n	nottarget	1	0.741
UnsupervisedSparse	nottarget	contr10	n	nottarget	1	0.713
UnsupervisedSparse	nottarget	contr8	n	nottarget	1	0.764
UnsupervisedSparse	nottarget	contr7	n	nottarget	1	0.511
UnsupervisedSparse	nottarget	contr4	n	nottarget	1	0.533
UnsupervisedSparse	target	test8	x	target	1	0.722
UnsupervisedSparse	target	test7	x	target	1	0.818
