"","Subject","System","ashby","sloutsky","tt","sloutsky.t","tt.t","ashby.cs"
"1",8001,"associative",-0.530204000389631,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.552026532285714
"2",8001,"hypothesis-testing",1.40377930757081,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.39772244799488
"3",8012,"associative",-1.06006244092674,0.290396401593369,-0.292926045316559,-0.0185275600706761,-0.703705158165666,-1.08620433510231
"4",8012,"hypothesis-testing",-0.662668610523907,-3.52323966938418,-0.817876966938034,-1.91421241606762,-1.12588131642622,-0.685570982989864
"5",8013,"associative",-0.132810169986801,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.151393180173263
"6",8013,"hypothesis-testing",1.43027222959766,-2.09851068049395,-3.96758249666689,-1.68032938305727,-2.31066804673105,1.42443133813571
"7",8017,"associative",-0.848119064711894,0.648343905101526,0.756975797926392,0.934695874738795,0.989989794864697,-0.872533213975674
"8",8017,"hypothesis-testing",0.820935022979991,0.125312970421714,1.01945125873713,-0.337329154958259,1.65462998352178,0.810126864896619
"9",8018,"associative",-1.03356951889988,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-1.05949544496148
"10",8018,"hypothesis-testing",1.66870852783936,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,1.66481134940318
"11",8021,"associative",-0.768640298631328,0.678906765870263,-2.6552051926132,1.03410089560062,-1.95846097091071,-0.792406543553184
"12",8021,"hypothesis-testing",1.40377930757081,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,1.39772244799488
"13",8024,"associative",-0.848119064711894,-0.838517824519141,0.232024876304917,-1.2507675458033,-0.0443127554256166,-0.872533213975674
"14",8024,"hypothesis-testing",1.58922976175879,0.0917091426960523,0.756975797926392,-0.393704630155668,0.989989794864697,1.58468467898069
"15",8026,"associative",-0.556696922416486,-0.789999657730264,1.01945125873713,-1.22471707579808,1.65462998352178,-0.578735422426544
"16",8026,"hypothesis-testing",0.423541192577161,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,0.409493512784168
"17",8027,"associative",-0.609682766470196,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,-0.632153202708204
"18",8027,"hypothesis-testing",1.13885008730225,-0.789999657730264,-0.555401506127297,-1.22471707579808,-0.934019015523857,1.13063354658658
"19",8029,"associative",-1.21901997308787,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-1.24645767594729
"20",8029,"hypothesis-testing",-0.0798243259330897,0.290396401593369,-0.292926045316559,-0.0185275600706761,-0.703705158165666,-0.0979753998916023
"21",8030,"associative",-0.901104908765605,-1.00408134249852,0.494500337115654,-1.33182608100475,0.42407140882664,-0.925950994257335
"22",8030,"hypothesis-testing",-1.27200581714158,0.0258007472573115,-0.292926045316559,-0.496310669139629,-0.703705158165666,-1.29987545622896
"23",8032,"associative",-0.874611986738749,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.899242104116504
"24",8032,"hypothesis-testing",0.847427945006846,-0.573922170183084,0.494500337115654,-1.09308161304099,0.42407140882664,0.836835755037449
"25",8033,"associative",-0.954090752819315,0.290396401593369,-3.96758249666689,-0.0185275600706761,-2.31066804673105,-0.979368774538995
"26",8033,"hypothesis-testing",0.847427945006846,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,0.836835755037449
"27",8034,"associative",-0.662668610523907,0.125312970421714,-0.817876966938034,-0.337329154958259,-1.12588131642622,-0.685570982989864
"28",8034,"hypothesis-testing",-1.51044211538328,-2.92629820194231,-0.030450584505821,-1.83317371623237,-0.416576644216606,-1.54025546749643
"29",8035,"associative",0.132119050281753,-0.186461637795123,0.494500337115654,-0.763528299880345,0.42407140882664,0.115695721235038
"30",8035,"hypothesis-testing",1.40377930757081,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,1.39772244799488
"31",8036,"associative",-0.371246468228498,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.391773191440733
"32",8036,"hypothesis-testing",1.43027222959766,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,1.42443133813571
"33",8037,"associative",-0.397739390255354,-0.0157012134301294,-0.292926045316559,-0.555659803479043,-0.703705158165666,-0.418482081581563
"34",8037,"hypothesis-testing",1.45676515162452,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,1.45114022827654
"35",8038,"associative",-1.00707659687303,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-1.03278655482065
"36",8038,"hypothesis-testing",-0.450725234309064,0.125312970421714,-0.555401506127297,-0.337329154958259,-0.934019015523857,-0.471899861863223
"37",8042,"associative",-0.371246468228498,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.391773191440733
"38",8042,"hypothesis-testing",1.48325807365137,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,1.47784911841737
"39",8044,"associative",-0.212288936067366,0.125312970421714,-0.817876966938034,-0.337329154958259,-1.12588131642622,-0.231519850595753
"40",8044,"hypothesis-testing",1.58922976175879,0.678906765870263,-1.08035242774877,1.03410089560062,-1.29003426061973,1.58468467898069
"41",8045,"associative",-0.530204000389631,0.125312970421714,-1.08035242774877,-0.337329154958259,-1.29003426061973,-0.552026532285714
"42",8045,"hypothesis-testing",1.13885008730225,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,1.13063354658658
"43",8046,"associative",-0.742147376604473,0.125312970421714,0.756975797926392,-0.337329154958259,0.989989794864697,-0.765697653412354
"44",8046,"hypothesis-testing",-1.06006244092674,-1.71000031621706,0.232024876304917,-1.58318146756079,-0.0443127554256166,-1.08620433510231
"45",8047,"associative",-0.874611986738749,-0.26319739385518,0.756975797926392,-0.841763095840071,0.989989794864697,-0.899242104116504
"46",8047,"hypothesis-testing",-0.106317247959946,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.124684290032433
"47",8048,"associative",-0.980583674846171,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-1.00607766467982
"48",8048,"hypothesis-testing",0.132119050281753,-0.26319739385518,-0.555401506127297,-0.841763095840071,-0.934019015523857,0.115695721235038
"49",8049,"associative",-0.662668610523907,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,-0.685570982989864
"50",8049,"hypothesis-testing",-0.92759783079246,-4.81660100542723,-1.60530334937025,-2.04151535222268,-1.56026016443486,-0.952659884398165
"51",8053,"associative",-1.29849873916843,0.678906765870263,-1.60530334937025,1.03410089560062,-1.56026016443486,-1.32658434636979
"52",8053,"hypothesis-testing",0.847427945006846,-2.89573534117357,0.232024876304917,-1.82848496592328,-0.0443127554256166,0.836835755037449
"53",8054,"associative",-0.636175688497051,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.658862092849034
"54",8054,"hypothesis-testing",1.53624391770508,-0.378730978926002,0.232024876304917,-0.945967668827921,-0.0443127554256166,1.53126689869903
"55",8055,"associative",-0.715654454577618,0.678906765870263,-1.08035242774877,1.03410089560062,-1.29003426061973,-0.738988763271524
"56",8055,"hypothesis-testing",-1.48394919335642,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,-1.5135465773556
"57",8056,"associative",-0.821626142685039,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.845824323834844
"58",8056,"hypothesis-testing",1.1123571652754,-0.186461637795123,0.494500337115654,-0.763528299880345,0.42407140882664,1.10392465644575
"59",8057,"associative",-0.874611986738749,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.899242104116504
"60",8057,"hypothesis-testing",1.53624391770508,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,1.53126689869903
"61",8058,"associative",-1.27200581714158,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-1.29987545622896
"62",8058,"hypothesis-testing",0.635484568792003,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,0.623164633910809
"63",8059,"associative",-1.03356951889988,-0.26319739385518,0.494500337115654,-0.841763095840071,0.42407140882664,-1.05949544496148
"64",8059,"hypothesis-testing",-0.715654454577618,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.738988763271524
"65",8060,"associative",-1.43096334930271,-2.10388061998205,-2.91768065342394,-1.68153203949195,-2.03878260170067,-1.46012879707394
"66",8060,"hypothesis-testing",0.741456256899425,-2.92629820194231,-0.292926045316559,-1.83317371623237,-0.703705158165666,0.730000194474129
"67",8061,"associative",-1.35148458322215,-0.18541180590619,1.01945125873713,-0.762400919523716,1.65462998352178,-1.38000212665145
"68",8061,"hypothesis-testing",-0.874611986738749,-0.615570978221626,-0.030450584505821,-1.12067751514522,-0.416576644216606,-0.899242104116504
"69",8062,"associative",-0.477218156335919,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.498608752004053
"70",8062,"hypothesis-testing",1.3507934635171,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.34430466771322
"71",8066,"associative",-0.212288936067366,-0.186461637795123,-0.817876966938034,-0.763528299880345,-1.12588131642622,-0.231519850595753
"72",8066,"hypothesis-testing",1.61572268378565,0.0258007472573115,-1.34282788855951,-0.496310669139629,-1.43329603778482,1.61139356912152
"73",8067,"associative",-0.0533314039062345,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.0712665097507723
"74",8067,"hypothesis-testing",1.13885008730225,0.290396401593369,-1.60530334937025,-0.0185275600706761,-1.56026016443486,1.13063354658658
"75",8069,"associative",-0.556696922416486,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-0.578735422426544
"76",8069,"hypothesis-testing",1.72169437189307,-0.18541180590619,1.01945125873713,-0.762400919523716,1.65462998352178,1.71822912968484
"77",8071,"associative",-0.980583674846171,0.0258007472573115,-2.6552051926132,-0.496310669139629,-1.95846097091071,-1.00607766467982
"78",8071,"hypothesis-testing",0.185104894335463,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,0.169113501516698
"79",8072,"associative",-0.768640298631328,0.290396401593369,1.01945125873713,-0.0185275600706761,1.65462998352178,-0.792406543553184
"80",8072,"hypothesis-testing",-1.51044211538328,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.54025546749643
"81",8073,"associative",-0.503711078362775,-0.18541180590619,0.232024876304917,-0.762400919523716,-0.0443127554256166,-0.525317642144884
"82",8073,"hypothesis-testing",1.24482177540968,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,1.2374691071499
"83",8074,"associative",-0.742147376604473,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.765697653412354
"84",8074,"hypothesis-testing",1.43027222959766,-0.802408319372291,1.01945125873713,-1.23148830488211,1.65462998352178,1.42443133813571
"85",8076,"associative",-0.477218156335919,-2.27319218332936,0.232024876304917,-1.71779032602233,-0.0443127554256166,-0.498608752004053
"86",8076,"hypothesis-testing",1.45676515162452,0.678906765870263,-2.39272973180246,1.03410089560062,-1.8716876638001,1.45114022827654
"87",8077,"associative",-1.00707659687303,0.263619189171574,0.232024876304917,-0.0751087729032175,-0.0443127554256166,-1.03278655482065
"88",8077,"hypothesis-testing",1.16534300932911,0.290396401593369,-0.817876966938034,-0.0185275600706761,-1.12588131642622,1.15734243672741
"89",8078,"associative",0.344062426496595,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.329366842361679
"90",8078,"hypothesis-testing",1.43027222959766,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,1.42443133813571
"91",8079,"associative",-1.19252705106101,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-1.21974878580647
"92",8079,"hypothesis-testing",-0.397739390255354,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.418482081581563
"93",8080,"associative",-0.477218156335919,-0.527793048191237,0.232024876304917,-1.06109288027388,-0.0443127554256166,-0.498608752004053
"94",8080,"hypothesis-testing",1.48325807365137,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.47784911841737
"95",8082,"associative",-0.530204000389631,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.552026532285714
"96",8082,"hypothesis-testing",0.873920867033701,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,0.863544645178279
"97",8084,"associative",-1.06006244092674,-1.6103773689423,0.232024876304917,-1.55452158881238,-0.0443127554256166,-1.08620433510231
"98",8084,"hypothesis-testing",-0.371246468228498,-6.47416309656435,0.494500337115654,-2.14984575080065,0.42407140882664,-0.391773191440733
"99",8086,"associative",-0.000345559852524039,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,-0.0178487294691124
"100",8086,"hypothesis-testing",1.08586424324854,-3.7970938110204,-0.555401506127297,-1.94580082901799,-0.934019015523857,1.07721576630492
"101",8087,"associative",0.476527036630871,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.462911293065828
"102",8087,"hypothesis-testing",1.43027222959766,-0.26319739385518,0.232024876304917,-0.841763095840071,-0.0443127554256166,1.42443133813571
"103",8088,"associative",-1.29849873916843,0.290396401593369,1.01945125873713,-0.0185275600706761,1.65462998352178,-1.32658434636979
"104",8088,"hypothesis-testing",-1.08655536295359,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.11291322524314
"105",8089,"associative",-0.371246468228498,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,-0.391773191440733
"106",8089,"hypothesis-testing",1.58922976175879,0.678906765870263,-1.08035242774877,1.03410089560062,-1.29003426061973,1.58468467898069
"107",8090,"associative",-0.874611986738749,-0.299543286698437,0.494500337115654,-0.876170692783977,0.42407140882664,-0.899242104116504
"108",8090,"hypothesis-testing",1.45676515162452,-0.419393846752856,-0.817876966938034,-0.979323161969011,-1.12588131642622,1.45114022827654
"109",8091,"associative",-0.636175688497051,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.658862092849034
"110",8091,"hypothesis-testing",-0.715654454577618,-2.95481267128445,-0.030450584505821,-1.83749486151405,-0.416576644216606,-0.738988763271524
"111",8093,"associative",-0.106317247959946,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.124684290032433
"112",8093,"hypothesis-testing",1.16534300932911,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,1.15734243672741
"113",8094,"associative",-0.106317247959946,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,-0.124684290032433
"114",8094,"hypothesis-testing",1.3507934635171,-0.708772877795774,-1.60530334937025,-1.17842465096805,-1.56026016443486,1.34430466771322
"115",8095,"associative",-0.265274780121077,-0.231914838407283,0.232024876304917,-0.810829681452462,-0.0443127554256166,-0.284937630877413
"116",8095,"hypothesis-testing",0.608991646765148,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,0.596455743769979
"117",8096,"associative",-0.0268384818793793,0.290396401593369,1.01945125873713,-0.0185275600706761,1.65462998352178,-0.0445576196099424
"118",8096,"hypothesis-testing",1.16534300932911,-1.10644194785282,0.232024876304917,-1.37668488532335,-0.0443127554256166,1.15734243672741
"119",8097,"associative",-1.32499166119529,-2.92629820194231,0.232024876304917,-1.83317371623237,-0.0443127554256166,-1.35329323651062
"120",8097,"hypothesis-testing",-1.40447042727586,-0.789999657730264,-0.817876966938034,-1.22471707579808,-1.12588131642622,-1.43341990693311
"121",8098,"associative",-0.768640298631328,0.0947501096529775,0.232024876304917,-0.388717334618877,-0.0443127554256166,-0.792406543553184
"122",8098,"hypothesis-testing",1.05937132122169,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,1.05050687616409
"123",8099,"associative",-1.11304828498045,0.290396401593369,-0.030450584505821,-0.0185275600706761,-0.416576644216606,-1.13962211538398
"124",8099,"hypothesis-testing",-0.477218156335919,-2.92629820194231,-0.030450584505821,-1.83317371623237,-0.416576644216606,-0.498608752004053
"125",8100,"associative",-0.768640298631328,0.290396401593369,0.232024876304917,-0.0185275600706761,-0.0443127554256166,-0.792406543553184
"126",8100,"hypothesis-testing",0.688470412845714,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,0.676582414192469
"127",8101,"associative",-0.0268384818793793,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-0.0445576196099424
"128",8101,"hypothesis-testing",1.69520144986622,-0.305838950633225,0.756975797926392,-0.88197155787869,0.989989794864697,1.69152023954401
"129",8103,"associative",-0.874611986738749,0.678906765870263,-1.60530334937025,1.03410089560062,-1.56026016443486,-0.899242104116504
"130",8103,"hypothesis-testing",0.291076582442884,0.156595525869611,-0.292926045316559,-0.282320536320189,-0.703705158165666,0.275949062080018
"131",8104,"associative",-0.715654454577618,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,-0.738988763271524
"132",8104,"hypothesis-testing",-1.21901997308787,-2.06092979827692,-0.292926045316559,-1.67181659391904,-0.703705158165666,-1.24645767594729
"133",8106,"associative",0.211597816362318,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,0.195822391657528
"134",8106,"hypothesis-testing",1.45676515162452,-1.55328953520352,0.232024876304917,-1.53728062905359,-0.0443127554256166,1.45114022827654
"135",8107,"associative",-1.00707659687303,0.290396401593369,-2.6552051926132,-0.0185275600706761,-1.95846097091071,-1.03278655482065
"136",8107,"hypothesis-testing",1.21832885338282,0.0258007472573115,-0.292926045316559,-0.496310669139629,-0.703705158165666,1.21076021700907
"137",8108,"associative",-1.27200581714158,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.29987545622896
"138",8108,"hypothesis-testing",0.847427945006846,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,0.836835755037449
"139",8109,"associative",-0.212288936067366,0.290396401593369,-0.817876966938034,-0.0185275600706761,-1.12588131642622,-0.231519850595753
"140",8109,"hypothesis-testing",0.476527036630871,-3.35324004713522,-1.08035242774877,-1.89298688602662,-1.29003426061973,0.462911293065828
"141",8110,"associative",-1.29849873916843,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-1.32658434636979
"142",8110,"hypothesis-testing",1.27131469743653,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,1.26417799729073
"143",8111,"associative",-0.318260624174788,-0.233096695163355,1.01945125873713,-0.812021575211456,1.65462998352178,-0.338355411159073
"144",8111,"hypothesis-testing",0.71496333487257,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,0.703291304333299
"145",8112,"associative",-0.821626142685039,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.845824323834844
"146",8112,"hypothesis-testing",0.503019958657727,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,0.489620183206659
"147",8113,"associative",-0.795133220658183,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,-0.819115433694014
"148",8113,"hypothesis-testing",1.21832885338282,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,1.21076021700907
"149",8114,"associative",-0.397739390255354,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.418482081581563
"150",8114,"hypothesis-testing",1.53624391770508,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,1.53126689869903
"151",8115,"associative",0.105626128254898,-0.186461637795123,-0.030450584505821,-0.763528299880345,-0.416576644216606,0.0889868310942082
"152",8115,"hypothesis-testing",1.43027222959766,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,1.42443133813571
"153",8116,"associative",-0.397739390255354,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,-0.418482081581563
"154",8116,"hypothesis-testing",1.27131469743653,0.125312970421714,-0.030450584505821,-0.337329154958259,-0.416576644216606,1.26417799729073
"155",8117,"associative",-0.715654454577618,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,-0.738988763271524
"156",8117,"hypothesis-testing",1.24482177540968,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,1.2374691071499
"157",8119,"associative",-0.212288936067366,0.125312970421714,-0.030450584505821,-0.337329154958259,-0.416576644216606,-0.231519850595753
"158",8119,"hypothesis-testing",1.13885008730225,-0.98712439478939,0.232024876304917,-1.3240324921035,-0.0443127554256166,1.13063354658658
"159",8121,"associative",-0.954090752819315,0.125312970421714,-2.39272973180246,-0.337329154958259,-1.8716876638001,-0.979368774538995
"160",8121,"hypothesis-testing",1.37728638554395,-0.573922170183084,-0.292926045316559,-1.09308161304099,-0.703705158165666,1.37101355785405
"161",8122,"associative",0.211597816362318,0.290396401593369,1.01945125873713,-0.0185275600706761,1.65462998352178,0.195822391657528
"162",8122,"hypothesis-testing",1.3507934635171,-0.370386840566697,0.494500337115654,-0.938923951003507,0.42407140882664,1.34430466771322
"163",8123,"associative",-0.715654454577618,-2.23169022264191,0.494500337115654,-1.70918971787978,0.42407140882664,-0.738988763271524
"164",8123,"hypothesis-testing",-0.185796014040511,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,-0.204810960454923
"165",8126,"associative",-1.29849873916843,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,-1.32658434636979
"166",8126,"hypothesis-testing",0.76794917892628,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.756709084614959
"167",8127,"associative",-0.92759783079246,-2.06092979827692,0.232024876304917,-1.67181659391904,-0.0443127554256166,-0.952659884398165
"168",8127,"hypothesis-testing",0.450034114604016,0.678906765870263,-1.60530334937025,1.03410089560062,-1.56026016443486,0.436202402924998
"169",8128,"associative",-0.424232312282209,-0.573922170183084,0.756975797926392,-1.09308161304099,0.989989794864697,-0.445190971722393
"170",8128,"hypothesis-testing",1.56273683973194,-0.305838950633225,-0.292926045316559,-0.88197155787869,-0.703705158165666,1.55797578883986
"171",8131,"associative",-0.318260624174788,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-0.338355411159073
"172",8131,"hypothesis-testing",1.16534300932911,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,1.15734243672741
"173",8132,"associative",-0.477218156335919,-0.0157012134301294,0.494500337115654,-0.555659803479043,0.42407140882664,-0.498608752004053
"174",8132,"hypothesis-testing",0.635484568792003,-0.115671482655454,0.756975797926392,-0.683663882383196,0.989989794864697,0.623164633910809
"175",8133,"associative",-0.980583674846171,0.290396401593369,0.232024876304917,-0.0185275600706761,-0.0443127554256166,-1.00607766467982
"176",8133,"hypothesis-testing",0.37055534852345,-1.21641314086918,1.01945125873713,-1.42107969779387,1.65462998352178,0.356075732502509
"177",8135,"associative",-1.43096334930271,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,-1.46012879707394
"178",8135,"hypothesis-testing",1.19183593135596,-0.18541180590619,0.232024876304917,-0.762400919523716,-0.0443127554256166,1.18405132686824
"179",8136,"associative",-1.32499166119529,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.35329323651062
"180",8136,"hypothesis-testing",1.80117313797364,-1.14286778882096,1.01945125873713,-1.39180090237428,1.65462998352178,1.79835580010733
"181",8137,"associative",-0.980583674846171,-0.612873143224633,-1.08035242774877,-1.11892521664638,-1.29003426061973,-1.00607766467982
"182",8137,"hypothesis-testing",-1.27200581714158,-0.26319739385518,0.232024876304917,-0.841763095840071,-0.0443127554256166,-1.29987545622896
"183",8138,"associative",-0.424232312282209,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,-0.445190971722393
"184",8138,"hypothesis-testing",0.238090738389174,0.254050508750113,-2.39272973180246,-0.0948603078683503,-1.8716876638001,0.222531281798358
"185",8140,"associative",0.529512880684582,0.290396401593369,-0.030450584505821,-0.0185275600706761,-0.416576644216606,0.516329073347489
"186",8140,"hypothesis-testing",0.582498724738293,-0.26319739385518,0.232024876304917,-0.841763095840071,-0.0443127554256166,0.569746853629149
"187",8142,"associative",0.238090738389174,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,0.222531281798358
"188",8142,"hypothesis-testing",1.3507934635171,0.678906765870263,0.494500337115654,1.03410089560062,0.42407140882664,1.34430466771322
"189",8145,"associative",0.0526402842011864,-0.574254403985621,0.756975797926392,-1.09330644966996,0.989989794864697,0.0355690508125475
"190",8145,"hypothesis-testing",1.13885008730225,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,1.13063354658658
"191",8147,"associative",-1.08655536295359,0.234869935839971,-1.60530334937025,-0.133718272571399,-1.56026016443486,-1.11291322524314
"192",8147,"hypothesis-testing",1.45676515162452,0.678906765870263,-3.44263157504541,1.03410089560062,-2.18337466690145,1.45114022827654
"193",8148,"associative",-1.29849873916843,0.678906765870263,-0.292926045316559,1.03410089560062,-0.703705158165666,-1.32658434636979
"194",8148,"hypothesis-testing",-0.636175688497051,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-0.658862092849034
"195",8149,"associative",-0.0268384818793793,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,-0.0445576196099424
"196",8149,"hypothesis-testing",1.00638547716798,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,0.99708909588243
"197",8150,"associative",-0.768640298631328,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.792406543553184
"198",8150,"hypothesis-testing",1.53624391770508,0.125312970421714,0.232024876304917,-0.337329154958259,-0.0443127554256166,1.53126689869903
"199",8152,"associative",-0.0798243259330897,0.678906765870263,0.625738067521023,1.03410089560062,0.694760414035246,-0.0979753998916023
"200",8152,"hypothesis-testing",0.423541192577161,0.648343905101526,0.494500337115654,0.934695874738795,0.42407140882664,0.409493512784168
"201",8153,"associative",-1.24551289511472,0.0258007472573115,1.01945125873713,-0.496310669139629,1.65462998352178,-1.27316656608813
"202",8153,"hypothesis-testing",-0.980583674846171,-0.844895520973121,-0.030450584505821,-1.25410861929542,-0.416576644216606,-1.00607766467982
"203",8154,"associative",-0.609682766470196,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.632153202708204
"204",8154,"hypothesis-testing",-0.689161532550762,-0.768777501268405,0.232024876304917,-1.21295725427046,-0.0443127554256166,-0.712279873130694
"205",8156,"associative",-1.1395412070073,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,-1.16633100552481
"206",8156,"hypothesis-testing",1.50975099567823,0.678906765870263,0.232024876304917,1.03410089560062,-0.0443127554256166,1.5045580085582
"207",8157,"associative",-0.609682766470196,-0.231914838407283,0.494500337115654,-0.810829681452462,0.42407140882664,-0.632153202708204
"208",8157,"hypothesis-testing",1.32430054149024,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,1.31759577757239
