Subject,rs_raw,rs_ss,fs_raw,fs_ss
8001,94,13,52,11
8002,89,11,52,11
8003,94,13,53,12
8004,92,12,54,12
8005,89,11,55,13
8006,87,11,56,14
8007,94,13,54,12
8008,94,13,54,12
8009,90,12,54,12
8010,84,10,51,10
8011,96,14,53,12
8012,87,11,55,13
8013,84,10,53,12
8014,86,10,55,13
8015,96,14,56,14
8016,96,14,55,13
8017,93,13,53,12
8018,86,10,56,14
8019,85,10,52,11
8020,75,7,53,12
8021,94,13,54,12
8022,80,9,55,13
8023,93,13,54,12
8024,89,11,54,12
8025,90,12,54,12
8026,76,8,49,9
8027,91,12,52,11
8028,92,12,55,13
8029,88,11,55,13
8030,86,10,54,12
8031,85,10,53,12
8032,85,10,56,14
8033,83,10,53,12
8034,93,13,53,12
8035,89,11,55,13
8036,94,13,52,11
8037,87,11,55,13
8038,NA,NA,NA,NA
8039,84,10,54,12
8040,76,8,54,12
8041,91,12,53,12
8042,NA,NA,NA,NA
8043,86,10,55,13
8044,87,11,55,13
8045,86,10,55,13
8046,87,11,54,12
8047,93,13,56,14
8048,94,13,56,14
8049,83,10,54,12
8050,89,11,56,14
8051,83,10,55,13
8052,90,12,54,12
8053,73,7,53,12
8054,84,10,56,14
8055,74,7,54,12
8056,94,13,55,13
8057,NA,NA,NA,NA
8058,73,7,52,11
8059,94,13,56,14
8060,87,11,54,12
8061,90,12,52,11
8062,89,11,56,14
8063,88,11,54,12
8064,84,10,54,12
8065,NA,NA,NA,NA
8066,95,13,55,13
8067,89,11,55,13
8068,90,12,56,14
8069,86,10,53,12
8070,85,10,53,12
8071,94,13,53,12
8072,83,10,54,12
8073,94,13,56,14
8074,91,12,51,10
8075,91,12,55,13
8076,86,10,56,14
8077,94,13,56,14
8078,89,11,55,13
8079,93,13,52,11
8080,94,13,55,13
8081,84,10,55,13
8082,86,10,54,12
8083,85,10,54,12
8084,84,10,54,12
8085,94,13,55,13
8086,90,12,54,12
8087,93,13,55,13
8088,90,12,51,10
8089,95,13,54,12
8090,81,9,53,12
8091,85,10,54,12
8092,NA,NA,NA,NA
8093,91,12,55,13
8094,93,13,56,14
8095,88,11,54,12
8096,87,11,55,13
8097,83,10,53,12
8098,85,10,56,14
8099,89,11,53,12
8100,91,12,55,13
8101,82,9,51,10
8102,87,11,56,14
8103,93,13,55,13
8104,NA,NA,NA,NA
8105,79,8,50,10
8106,89,11,55,13
8107,89,11,54,12
8108,93,13,56,14
8109,94,13,56,14
8110,94,13,56,14
8111,83,10,54,12
8112,94,13,56,14
8113,86,10,55,13
8114,93,13,56,14
8115,91,12,56,14
8116,95,13,55,13
8117,85,10,53,12
8118,84,10,52,11
8119,94,13,52,11
8120,81,9,51,10
8121,87,11,56,14
8122,85,10,55,13
8123,83,10,55,13
8124,95,13,56,14
8125,76,8,50,10
8126,86,10,54,12
8127,80,9,55,13
8128,79,8,54,12
8129,94,13,55,13
8130,85,10,54,12
8131,NA,NA,NA,NA
8132,87,11,55,13
8133,93,13,55,13
8134,92,12,54,12
8135,90,12,55,13
8136,93,13,56,14
8137,94,13,55,13
8138,82,9,54,12
8139,89,11,56,14
8140,92,12,55,13
8141,87,11,54,12
8142,88,11,56,14
8143,83,10,54,12
8144,88,11,56,14
8145,90,12,53,12
8146,85,10,55,13
8147,75,7,56,14
8148,83,10,56,14
8149,NA,NA,NA,NA
8150,87,11,53,12
8151,89,11,55,13
8152,89,11,56,14
8153,89,11,55,13
8154,94,13,55,13
8155,84,10,54,12
8156,89,11,50,10
8157,95,13,56,14
8158,88,11,56,14
8159,95,13,55,13
8160,90,12,51,10
8161,90,12,56,14
8162,91,12,54,12
8163,75,7,53,12
8164,92,12,56,14
8165,92,12,56,14
8166,88,11,52,11
8167,85,10,54,12
8168,74,7,53,12
8169,94,13,52,11
8170,93,13,56,14